2	1789115998.635896273	127.0.0.1	80	127.0.0.1	62986	1
5	1789115998.637162895	127.0.0.1	80	127.0.0.1	52714	1
8	1789115998.638516064	127.0.0.1	80	127.0.0.1	26475	1
11	1789115998.640061980	127.0.0.1	80	127.0.0.1	22080	1
