2	1789115998.635896273	127.0.0.1	80	127.0.0.1	62986	0x0012
3	1789115998.635900993	127.0.0.1	62986	127.0.0.1	80	0x0004
5	1789115998.637162895	127.0.0.1	80	127.0.0.1	52714	0x0012
6	1789115998.637168029	127.0.0.1	52714	127.0.0.1	80	0x0004
8	1789115998.638516064	127.0.0.1	80	127.0.0.1	26475	0x0012
9	1789115998.638521098	127.0.0.1	26475	127.0.0.1	80	0x0004
11	1789115998.640061980	127.0.0.1	80	127.0.0.1	22080	0x0012
12	1789115998.640066839	127.0.0.1	22080	127.0.0.1	80	0x0004
